name,position
dr. Orbán Viktor,miniszterelnök
Dr. Semjén Zsolt,"nemzetpolitikáért, egyházügyekért és nemzetiségekért felelős miniszterelnök-helyettes"
dr. Pintér Sándor,"belügyminiszter, miniszterelnök-helyettes"
Varga Mihály,"pénzügyminiszter, miniszterelnök-helyettes"
Dr. Benkő Tibor,honvédelmi miniszter
dr. Gulyás Gergely,Miniszterelnökséget vezető miniszter
Prof. Dr. Kásler Miklós,emberi erőforrások minisztere
Mager Andrea,a nemzeti vagyon kezeléséért felelős tárca nélküli miniszter
Dr. Nagy István,agrárminiszter
Dr. Palkovics László,innovációs és technológiai miniszter
Rogán Antal,a miniszterelnök kabinetfőnöke
Süli János,a Paksi Atomerőmű bővítéséért felelős tárca nélküli miniszter
Szijjártó Péter,külgazdasági és külügyminiszter
dr. Varga Judit,igazságügyi miniszter
