wdid,name,pid,position,start,source,sourceDate,psid
Q1228425,Palkovics László,Q112476417,technológiai és ipari miniszter,2022-05-24,https://kormany.hu/a-kormany-tagjai,2022-05-26,Q1228425-B57B8498-FF15-4A93-A313-461568B18F86
Q1249804,Rogán Antal,Q50586423,a miniszterelnök kabinetfőnöke,2015-10-01,https://kormany.hu/a-kormany-tagjai,2021-07-22,Q1249804-A68236B6-D4DF-46E3-85C7-D6EFEAB9FE69
Q1401791,Varga Mihály,Q50586209,pénzügyminiszter,2013-03-07,https://kormany.hu/a-kormany-tagjai,2022-05-26,Q1401791-0EB604E4-356B-4EA8-8BC9-DFD8CF6FE55C
Q16197131,Nagy István,Q50586594,agrárminiszter,2018-05-18,https://kormany.hu/a-kormany-tagjai,2022-05-26,Q16197131-E675BC1B-1E86-4146-8129-56C7C2FEA861
Q20725363,Nagy Márton,Q112132591,gazdaságfejlesztési miniszter,2022-05-24,https://kormany.hu/a-kormany-tagjai,2022-05-26,Q20725363-33EF85EA-985B-4F37-A9C9-1B5A0D14B2CD
Q549589,Pintér Sándor,Q30577840,belügyminiszter,2010-05-29,https://kormany.hu/a-kormany-tagjai,2022-05-26,Q549589-d0e53ae0-4e86-b336-dd79-0ed773b50aeb
Q5550584,Gulyás Gergely,Q50588061,Miniszterelnökséget vezető miniszter,2018-05-18,https://kormany.hu/a-kormany-tagjai,2022-05-26,Q5550584-576F7E9F-AA03-4036-862D-0ACA90F03B9B
Q55574,Semjén Zsolt,Q61411735,"nemzetpolitikáért, nemzetiségpolitikáért, egyházpolitikáért és egyházdiplomáciáért felelős miniszter, miniszterelnök-helyettes",2018-05-18,https://kormany.hu/a-kormany-tagjai,2022-05-26,Q55574-200de34c-47d4-f5b8-88f3-92a888bb05a8
Q56392311,Csák János,Q112031393,kultúráért és innovációért felelős miniszter,2022-05-01,https://kormany.hu/a-kormany-tagjai,2022-05-26,Q56392311-615dc394-49cb-19e7-051d-30eb6261a2ea
Q57641,Orbán Viktor,Q3315094,miniszterelnök,2010-05-29,https://kormany.hu/a-kormany-tagjai,2022-05-26,Q57641-5b514d8c-44f8-43e1-356c-44d9541e4490
Q63224253,Varga Judit,Q50586662,igazságügyi miniszter,2019-07-12,https://kormany.hu/a-kormany-tagjai,2022-05-26,Q63224253-3aec9227-42a7-6a13-6e48-c5d9d55cb09b
Q66813321,Szalay-Bobrovniczky Kristóf,Q282907,honvédelmi miniszter,2022-05-24,,,Q66813321-1525DAA8-C76A-4F09-82B4-3103C1AB73C5
Q685293,Szijjártó Péter,Q50586116,külgazdasági és külügyminiszter,2014-09-23,https://kormany.hu/a-kormany-tagjai,2021-07-22,Q685293-cf027986-4d93-a91c-7989-10b34604dc3d
Q750646,Lázár János,Q112136321,építési és beruházási miniszter,2022-05-24,https://kormany.hu/a-kormany-tagjai,2022-05-26,Q750646-74367F18-14E4-47DB-B5DD-65D61A103538
Q832221,Navracsics Tibor,Q112132584,területfejlesztési miniszter,2022-05-24,https://kormany.hu/a-kormany-tagjai,2022-05-26,Q832221-8E896AF7-EADC-4AE7-A844-E2601F53E652
