position,title
Q520765,President
Q3315094,Prime Minister
Q61314137,Deputy Prime Minister
Q61411735,"Deputy Prime Minister for National Policy, Church Affairs and National Minorities"
Q50586594,Minister of Agriculture
Q470760,Minister of Civilian Intelligence Services
Q100999386,Minister of Commerce
Q106526363,Minister of Construction
Q106538776,Minister of Construction and Urban Development
Q98592801,Minister of Croatian Affairs
Q105682088,Minister of Culture
Q112031393,Minister of Culture and Innovation
Q282907,Minister of Defence
Q109478881,Minister of Economy
Q100319667,Minister of Economy and Transport
Q104527509,Minister of Education and Religious Affairs
Q1162888,Minister of Education
Q107140976,Minister of Environment and Regional Policy
Q107302560,Minister of Environmental Protection and Water Management
Q954237,Minister of Finance
Q50586116,Minister of Foreign Affairs
Q102290657,Minister of Foreign Trade
Q101808997,Minister of Health
Q100989068,Minister of Heavy Industry
Q24205239,Minister of Human Capacities
Q30577840,Minister of Interior
Q50586662,Minister of Justice
Q100292090,Minister of Justice and Law Enforcement
Q23645099,Minister of Labour
Q106673467,Minister of Metallurgy and Machinery
Q98843604,Minister of National Cultural Heritage
Q50586281,Minister of National Development
Q50586209,Minister of National Economy
Q107610345,Minister of National Innovation and Technology
Q668251,Minister of Public Works and Transport
Q50588061,Minister of the Prime Minister's Office
Q102357105,Minister in charge of the Prime Minister's Office
Q107299743,Ministrer of Trade and Industry
Q106928605,"Minister for Transport, Communications and Energy"
Q100999362,Minister of Transport and Posts
Q23644987,Minister of Transport and Water Management
Q17278782,Minister of Youth and Sports Affairs
Q112132591,"Minister without portfolio for Economic Development"
Q107610390,Minister Without Portfolio for Family Affairs
Q112132584,Minister Without Portfolio for Land Development and Use of EU Funds
Q59390956,Minister Without Portfolio for Managing National Wealth
Q30575843,Minister Without Portfolio for National Policy
Q51955033,Minister Without Portfolio for the Modern Cities Program
Q51955028,Minister Without Portfolio for the Paks Nuclear Plant
Q23645103,Secretary of State for Territorial Public Administration
Q468879,Speaker of the National Assembly
Q50586423,Chief of Staff of the Prime Minister
Q16957508,Chief Prosecutor
Q109470567,Chief of General Staff of the Armed Forces
Q16517044,Commissioner for Fundamental Rights
Q1119126,Government Commissioner
Q109470607,Governor of the National Bank
Q383291,Mayor of Budapest
